"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"467","Jordan Hall","San","G","21.2","9","9.1","19.7","19.8","9","0.778","13","0.462","15","0.2","0.375","0.438","3.1","1.3","1.2","0.1","0","0.8","4.4","4.3","5.7","7.4","91","117.6"
"468","Richaun Holmes","Sac","F","29.4","37","8.5","13.1","15.8","17","0.824","69","0.652","5","0.8","0.689","0.712","3.1","2","0.1","0.1","0.3","0.4","5.1","3.3","5.3","4","130.7","104.3"
"469","Christian Koloko","Tor","C","22.8","52","14.1","10.4","11.7","55","0.655","126","0.492","10","0.1","0.467","0.509","3.1","3","0.5","0.4","1.1","0.3","6.2","3.6","6.7","4.7","118.4","100.8"
"470","Gorgui Dieng","San","C","33.2","27","10.2","17.3","21.4","8","0.75","30","0.567","58","0.241","0.432","0.448","3","2.8","1.5","0.1","0.4","0.9","5.8","4.6","7.3","9.1","96.1","106.4"
"471","Tyler Dorsey","Dal","G","27.1","3","2.8","27.3","0","0","0","3","1","2","0.5","0.9","0.9","3","0.7","0","0","0","0","3.7","3","3.7","0","",""
"472","Danny Green","Mem","G","35.8","3","14.5","13.3","21.4","0","0","3","0","8","0.375","0.409","0.409","3","1.3","0.7","0.3","0","1","4.3","3.7","5","3.9","76.7","103.1"
"473","Danny Green","Cle","G","35.8","6","7.4","15.5","19.4","1","1","2","0.5","10","0.5","0.708","0.723","3","0.5","0","0.3","0.2","0.5","3.5","3","3.5","0","109.9","105.5"
"474","Kai Jones","Cha","C-F","22.2","40","10.5","11.9","19","20","0.75","77","0.61","12","0.25","0.579","0.603","3","2.4","0.2","0.3","0.6","0.5","5.4","3.1","5.5","4.3","110.2","104"
"475","Jake LaRavia","Mem","F","21.4","33","11.9","12","16.5","9","0.778","24","0.542","67","0.328","0.505","0.521","3","1.8","0.6","0.4","0.1","0.5","4.8","3.6","5.5","5","103.4","103"
"476","Saben Lee","Phi","G","23.8","2","5.1","31","42.9","0","0","3","1","1","0","0.75","0.75","3","0","1","0.5","0","1.5","3","4","4","0","86.3","105.1"
"477","Raul Neto","Cle","G","30.9","45","10","12","13.7","27","0.889","57","0.667","37","0.324","0.596","0.642","3","0.9","1.4","0.4","0.1","0.3","3.9","4.4","5.3","6.2","132.3","105.4"
"478","Trevelin Queen","Ind","G","26.1","7","10","23","19.2","5","1","14","0.357","15","0.133","0.276","0.337","3","2.4","0.9","0.3","0.7","1","5.4","3.9","6.3","7.5","78.9","116"
"479","Neemias Queta","Sac","C","23.7","4","6.1","17.3","11.1","2","0","8","0.75","0","0","0.75","0.676","3","2.3","0.3","0","0.3","0.3","5.3","3.3","5.5","8.4","133.9","89.3"
"480","Dominick Barlow","San","F","19.8","21","12.2","11.1","17.7","15","0.667","47","0.532","4","0","0.49","0.521","2.9","2.6","0.6","0.3","0.5","0.5","5.5","3.4","6","5.4","109.2","106.7"
"481","Johnny Davis","Was","G","21.1","21","9.1","16.6","8.9","13","0.538","44","0.477","17","0.235","0.443","0.457","2.9","1.1","0.3","0.1","0.1","0.3","4","3.2","4.4","4.3","93.7","105.6"
"482","Moussa Diabate","Lac","F","21.2","19","9.5","14.1","17.6","16","0.625","40","0.525","2","0.5","0.536","0.561","2.9","2.4","0.2","0.3","0.3","0.5","5.3","3.1","5.4","4.7","119.5","109.5"
"483","Juancho Hernangomez","Tor","F","27.5","42","14.6","9.4","11.6","16","0.563","47","0.66","67","0.254","0.496","0.504","2.9","2.9","0.6","0.4","0.1","0.4","5.8","3.5","6.4","4.7","108.4","110.6"
"484","A.J. Lawson","Dal","G","22.7","11","5.5","20.6","3.8","3","0.333","9","0.556","16","0.438","0.62","0.608","2.9","0.7","0.1","0.1","0","0.1","3.6","3","3.7","4.3","116.4","108.1"
"485","Jabari Walker","Por","F","20.7","48","9.1","15.7","14.1","35","0.771","91","0.495","31","0.226","0.455","0.502","2.9","2","0.5","0.1","0.2","0.4","4.9","3.4","5.4","6.3","108.8","110.2"
"486","Will Barton","Tor","G","32.2","12","12.2","14.8","5.9","2","1","22","0.364","25","0.2","0.33","0.345","2.8","1.5","1","0.6","0.2","0.3","4.3","3.8","5.3","5.3","86.2","109.3"
"487","Jeff Dowtin Jr.","Tor","G","25.9","21","10.2","12.1","8.6","7","0.714","39","0.487","14","0.357","0.5","0.517","2.8","1","1.2","0.3","0","0.2","3.8","4","5","5.9","117.8","113.9"
"488","Micah Potter","Uta","F","25","4","6.1","12","0","0","0","5","0.8","2","0.5","0.786","0.786","2.8","0.8","0.8","0","0","0","3.5","3.5","4.3","8","170.1","110.3"
"489","Olivier Sarr","Okc","C","24.1","5","11.9","11.5","19.4","3","1","7","0.571","5","0.2","0.458","0.526","2.8","2.8","0.6","0","1","0.6","5.6","3.4","6.2","5.6","116.4","102.4"
"490","Frank Kaminsky","Atl","F-C","30","26","6.8","13.9","16.9","12","0.833","21","0.667","23","0.478","0.693","0.72","2.7","1.4","0.8","0.2","0","0.3","4.1","3.5","4.9","8.5","132.5","105.8"
"491","Robin Lopez","Cle","C","35","34","7.5","15.7","26.7","16","0.75","57","0.649","3","0.667","0.667","0.686","2.7","1.3","0.4","0","0.2","0.6","4","3.1","4.4","6","114.2","101.7"
"492","Terry Taylor","Ind","G","23.5","26","8.8","14.3","12.1","7","0.714","47","0.553","18","0.222","0.492","0.507","2.7","1.5","0.4","0.1","0.2","0.3","4.2","3","4.5","5.3","108.8","113.4"
"493","Matisse Thybulle","Phi","G-F","26.1","49","12.1","9.8","6.4","12","0.75","53","0.547","63","0.333","0.522","0.536","2.7","1.3","0.5","0.9","0.3","0.2","3.9","3.1","4.4","4","116.1","103.2"
"494","Juan Toscano-Anderson","Lal","F","30","30","12.2","10.4","20.4","15","0.733","46","0.63","20","0.2","0.53","0.558","2.7","2","0.8","0.3","0.2","0.6","4.7","3.5","5.6","5.3","107.1","103.9"
"495","Udoka Azubuike","Uta","C-F","23.5","30","7.3","13.1","22.9","16","0.313","47","0.787","0","0","0.787","0.731","2.6","2.7","0.3","0.2","0.4","0.5","5.3","2.9","5.6","7","123.5","106.8"
"496","Trent Forrest","Atl","G","24.8","19","12.7","10.8","17.9","3","0.667","48","0.5","2","0","0.48","0.487","2.6","1.5","1.6","0.3","0.1","0.6","4.2","4.3","5.8","5.8","103.5","114.1"
"497","James Johnson","Ind","F","36.1","15","8.7","14.9","11.6","8","0.5","25","0.52","13","0.231","0.461","0.47","2.6","1.5","0.7","0.3","0.4","0.3","4.1","3.3","4.8","6.4","97.3","98.4"
"498","Ryan Arcidiacono","Por","G","29","8","16.2","11.1","15.2","0","0","10","0.1","18","0.333","0.357","0.357","2.5","1.1","2.5","0.4","0","0.6","3.6","5","6.1","4.7","91.4","112.7"
"499","Jared Butler","Okc","G","22.6","2","9.6","13","33.3","0","0","2","0.5","2","0.5","0.625","0.625","2.5","0.5","2","1.5","0","1","3","4.5","5","5.7","104.1","96.9"
"500","Damian Jones","Lal","C","27.7","22","8","13.1","19.4","20","0.75","34","0.588","3","0","0.541","0.6","2.5","2.5","0.2","0.1","0.5","0.4","5","2.7","5.2","5.4","118.3","105.2"
"501","Frank Ntilikina","Dal","G","24.7","44","11.7","12.8","18.5","25","0.68","52","0.5","58","0.241","0.427","0.459","2.5","1.3","1.1","0.3","0.1","0.6","3.8","3.7","4.9","5.2","94.5","108.4"
"502","Sandro Mamukelashvili","Mil","F-C","23.8","24","9.1","14.5","13.4","18","0.667","26","0.462","32","0.219","0.388","0.432","2.4","2.3","0.7","0.2","0.2","0.4","4.7","3","5.4","6.9","102.1","104.5"
"503","Ish Smith","Den","G","34.7","38","8.6","18.7","27.1","2","0.5","96","0.438","6","0.333","0.441","0.442","2.4","1.2","2.1","0.2","0.2","1","3.6","4.5","5.7","8.5","90.9","109.4"
"504","Garrett Temple","Nor","G-F","36.9","19","6.7","14.3","9.7","4","0.75","16","0.375","21","0.476","0.568","0.58","2.4","0.7","0.6","0.4","0.1","0.2","3.1","2.9","3.6","6","119","107.2"
"505","Juan Toscano-Anderson","Uta","F","30","14","11.7","10.7","22.3","4","1","23","0.522","8","0.25","0.484","0.519","2.4","2.5","1.2","0.3","0.1","0.6","4.9","3.6","6.1","6.6","105.4","108.2"
"506","Nerlens Noel","Det","C-F","29","14","10.8","11.9","20.9","10","0.7","28","0.393","2","0.5","0.417","0.465","2.3","2.6","0.5","0.9","0.6","0.6","4.9","2.8","5.4","5.3","92.6","99"
"507","Scotty Pippen Jr.","Lal","G","22.4","6","5.3","24.1","14","9","0.556","9","0.333","3","0.333","0.375","0.439","2.3","0.7","0.3","0.3","0.2","0.3","3","2.7","3.3","5.9","92.8","106.8"
"508","Davon Reed","Den","G","27.8","35","9","15","19.9","20","0.75","36","0.25","44","0.364","0.413","0.456","2.3","1.5","0.5","0.4","0.1","0.6","3.9","2.9","4.4","5.3","89.2","104.6"
"509","Jay Huff","Was","C","25.6","3","4.1","21.9","45","5","1","1","1","1","0","0.5","0.833","2.3","1.3","0.3","0","0","0.7","3.7","2.7","4","9.4","120.8","106.7"
"510","Khem Birch","Tor","C","30.5","20","8.1","11.1","19.8","5","0.8","30","0.6","2","0.5","0.609","0.629","2.2","1.3","0.4","0.3","0.3","0.4","3.4","2.5","3.8","5.2","113.1","102.9"
"511","Kennedy Chandler","Mem","G","20.5","32","8","15.9","17.4","13","0.462","61","0.475","15","0.133","0.421","0.428","2.2","1","1.7","0.3","0.2","0.5","3.2","3.9","4.9","7.8","100.2","110.2"
"512","Dru Smith","Mia","G","25.2","5","13.4","9.9","6.7","0","0","8","0.5","6","0.167","0.393","0.393","2.2","1.8","1","0.8","0.6","0.2","4","3.2","5","4.7","94.4","98"
"513","Andre Iguodala","Gol","G-F","39.2","8","14.1","9.4","37","3","0.667","6","1","9","0.111","0.5","0.521","2.1","2.1","2.4","0.5","0.4","1.1","4.3","4.5","6.6","6.2","102","108.5"
"514","Buddy Boeheim","Det","F","23.4","7","9.8","14.8","0","2","1","1","0","22","0.182","0.261","0.293","2","0.6","0.4","0.3","0","0","2.6","2.4","3","3.2","78.4","118.9"
"515","Justin Champagnie","Tor","G-F","21.7","3","3.6","11.7","0","0","0","3","1","0","0","1","1","2","1.3","0.3","0","0","0","3.3","2.3","3.7","10.2","",""
"516","Ron Harper Jr.","Tor","F","23","5","3.3","20.9","0","0","0","3","0.667","5","0.4","0.625","0.625","2","0.4","0","0","0","0","2.4","2","2.4","0","",""
"517","A.J. Lawson","Min","G","22.7","1","1.8","23.8","0","0","0","1","1","0","0","1","1","2","1","0","0","0","0","3","2","3","0","",""
"518","Markieff Morris","Dal","F","33.6","5","4.8","18.9","30","0","0","2","1","5","0.4","0.714","0.714","2","0.6","0.2","0.2","0","0.6","2.6","2.2","2.8","5.2","91.8","95.7"
"519","Chris Silva","Dal","F","26.5","1","3","30.2","50","0","0","1","1","0","0","1","1","2","0","0","0","0","1","2","2","2","0","",""
"520","Terry Taylor","Chi","G","23.5","2","2.9","15.5","0","0","0","2","1","0","0","1","1","2","0","0","0","0","0","2","2","2","0","",""
"521","Stanley Umude","Det","G","24","1","2.1","38","0","2","1","0","0","1","0","0","0.532","2","0","0","1","1","0","2","2","2","0","",""
"522","Lindell Wigginton","Mil","G","25","4","4.3","29.1","17.5","2","1","5","0.6","4","0","0.333","0.405","2","0.3","0.3","0","0","0.5","2.3","2.3","2.5","5.3","75.1","112"
"523","Omer Yurtseven","Mia","C","24.8","6","6.2","13.5","9.7","3","0.667","8","0.625","1","0","0.556","0.581","2","1.5","0","0.2","0.2","0.2","3.5","2","3.5","0","121.9","98.5"
"524","Dewayne Dedmon","Phi","C","33.6","5","6.6","16.1","27.3","2","0","7","0.714","1","0","0.625","0.563","2","2.2","0.4","0.2","0.6","0.6","4.2","2.4","4.6","7.3","102.8","94.1"
"525","Jared Rhoden","Det","G","23.6","8","9.3","10.8","5.4","2","1","9","0.556","8","0.125","0.382","0.419","1.9","2","0.3","0.3","0","0.1","3.9","2.1","4.1","4.5","109","109.8"
"526","Ryan Rollins","Gol","G","20.7","12","5.2","26.1","43.9","6","1","11","0.364","9","0.333","0.425","0.508","1.9","1","0.5","0.1","0.1","1.3","2.9","2.4","3.4","7.6","70.1","102.1"
"527","Peyton Watson","Den","G","20.5","16","3.2","22.2","8","2","0","17","0.529","6","0.667","0.652","0.628","1.9","0.5","0.1","0","0.1","0.1","2.4","2","2.5","5.7","",""
"528","Greg Brown III","Por","F","21.6","16","5.8","18.4","17.6","12","0.417","21","0.476","7","0.143","0.411","0.421","1.8","1.2","0.2","0.3","0.3","0.4","2.9","1.9","3.1","5.2","79.2","103.8"
"529","Trevor Hudgins","Hou","G","24","5","5.7","16.6","9.6","3","1","1","0","8","0.25","0.333","0.436","1.8","0","0.6","0","0","0.2","1.8","2.4","2.4","0","102.6","124.9"
"530","Quenton Jackson","Was","G","24.5","4","2.9","22.8","0","0","0","3","0.667","3","0.333","0.583","0.583","1.8","0.3","0.3","0.3","0","0","2","2","2.3","7.5","",""
"531","Alize Johnson","San","F","26.9","4","7.4","15.3","39.1","2","0.5","4","0.75","2","0","0.5","0.509","1.8","2.5","0.3","0.3","0","1","4.3","2","4.5","6","74","108.9"
"532","Theo Pinson","Dal","G-F","27.4","36","6.8","13.9","12.8","11","0.818","17","0.294","44","0.341","0.451","0.486","1.8","1.2","0.8","0.1","0","0.3","2.9","2.6","3.8","7.1","110.4","109.2"
"533","Dalen Terry","Chi","F","20.7","30","5.6","15.2","11.3","11","0.455","29","0.552","18","0.333","0.532","0.53","1.8","0.9","0.6","0.1","0.1","0.2","2.7","2.5","3.3","7.1","114.6","106.6"
"534","Joe Wieskamp","Tor","G-F","23.6","5","5.9","12.9","11.1","0","0","1","0","7","0.429","0.563","0.563","1.8","0.4","0.2","0","0","0.2","2.2","2","2.4","3.6","105.6","114.9"
"535","Mamadi Diakite","Cle","F","26.2","19","6.4","15.3","19","0","0","18","0.5","16","0.313","0.485","0.485","1.7","1","0.2","0.1","0.4","0.4","2.7","1.9","2.9","4.4","89.4","99"
"536","Keon Ellis","Sac","G","23.2","13","3.9","13.1","7","3","0.667","3","0.333","10","0.6","0.769","0.768","1.7","0.6","0.3","0.2","0.1","0.1","2.3","2","2.6","6.9","",""
"537","Dylan Windler","Cle","G-F","26.5","3","3.5","17.2","25","0","0","1","1","2","0.5","0.833","0.833","1.7","0","0.3","0.3","0","0.3","1.7","2","2","0","",""
"538","Darius Bazley","Pho","F-G","22.8","5","5.5","18.6","26.7","2","0.5","4","0.5","4","0.25","0.438","0.45","1.6","1.2","0.8","0.4","0.4","0.6","2.8","2.4","3.6","8.4","87","93.1"
"539","Tony Bradley","Chi","C-F","25.2","12","2.8","19.5","7.4","4","1","7","0.429","5","0.6","0.625","0.69","1.6","0.9","0.1","0.1","0.1","0.1","2.5","1.7","2.6","7.5","",""
"540","Svi Mykhailiuk","Nyk","G-F","25.8","13","3.1","17.4","14","5","0.6","2","0","10","0.6","0.75","0.739","1.6","0.5","0.1","0.1","0","0.2","2.2","1.7","2.2","5.6","",""
"541","Jaden Springer","Phi","G","20.5","13","3.6","22.5","4.5","4","0.75","19","0.474","2","0","0.429","0.461","1.6","0.8","0.3","0.5","0.2","0.1","2.4","1.9","2.7","8.1","",""
"542","Kendall Brown","Ind","G","19.9","6","6.7","10.3","21.7","2","0.5","6","0.667","1","0","0.571","0.571","1.5","1","0.5","0.7","0","0.3","2.5","2","3","5.4","109.4","94.9"
"543","Matthew Dellavedova","Sac","G","32.5","31","6.7","13.1","16.6","7","0.571","23","0.348","27","0.333","0.43","0.443","1.5","0.4","1.3","0.2","0","0.3","1.9","2.8","3.2","5.5","103.8","110.8"
"544","Carlik Jones","Chi","G","25.3","2","11.4","15","16.4","4","0.25","4","0.25","1","0","0.2","0.222","1.5","1.5","1","0","0","0.5","3","2.5","4","4.6","63.4","114.9"
"545","Trevor Keels","Nyk","G","19.6","2","2","33","0","0","0","0","0","3","0.333","0.5","0.5","1.5","1","0","0","0","0","2.5","1.5","2.5","0","",""
"546","Wendell Moore Jr.","Min","G","21.5","27","5.5","15","15.9","5","0.8","25","0.6","17","0.118","0.429","0.452","1.5","0.6","0.7","0.3","0.2","0.3","2.1","2.1","2.8","6.2","95.5","109"
"547","Jordan Schakel","Was","G","24.8","2","3.1","14.1","0","0","0","1","0","1","1","0.75","0.75","1.5","0","0.5","0.5","0","0","1.5","2","2","0","",""
"548","Cole Swider","Lal","F","23.9","6","6.7","9.5","0","0","0","1","0","8","0.375","0.5","0.5","1.5","1.2","0.7","0","0","0","2.7","2.2","3.3","6.4","124.3","110.2"
"549","Facundo Campazzo","Dal","G","32","8","6.5","14.6","18.5","2","0.5","2","0","11","0.273","0.346","0.36","1.3","0.3","1.1","0.8","0","0.4","1.5","2.4","2.6","4.6","86.5","110.3"
"550","Braxton Key","Det","F","26.1","3","3","8.8","0","2","1","1","1","0","0","1","1.064","1.3","0.3","0","0","0","0","1.7","1.3","1.7","0","",""
"551","Vit Krejci","Atl","G","22.8","24","5.3","11.9","11.4","2","0.5","13","0.615","18","0.278","0.5","0.502","1.3","0.7","0.5","0.1","0","0.2","2","1.8","2.5","5.8","107.7","111.1"
"552","KZ Okpala","Sac","F-G","23.9","35","7.1","8.4","15.4","8","0.875","17","0.529","21","0.333","0.513","0.554","1.3","1","0.4","0.2","0.2","0.2","2.3","1.7","2.7","4.5","113.3","103.5"
"553","Tyrese Martin","Atl","G","24.1","13","3.5","16.5","5.7","2","1","11","0.455","5","0.2","0.406","0.444","1.2","0.5","0","0.1","0","0.1","1.6","1.2","1.6","0","",""
"554","Davon Reed","Lal","G","27.8","5","4.2","9.6","0","4","0.25","1","1","2","0.5","0.833","0.63","1.2","0.6","0.4","0.2","0","0","1.8","1.6","2.2","6.3","140.9","102"
"555","Jack White","Den","F","25.6","16","3.2","15.6","5.8","3","0.667","8","0.5","8","0.375","0.531","0.548","1.2","0.6","0.2","0.1","0.1","0.1","1.8","1.4","1.9","6.6","",""
"556","JD Davison","Bos","G","20.5","10","2.7","24","13.3","0","0","9","0.444","4","0.25","0.423","0.423","1.1","0.6","0.6","0.2","0","0.2","1.7","1.7","2.3","10.9","",""
"557","Kessler Edwards","Bro","F","22.6","14","5.7","16.1","14.2","2","0.5","12","0.333","12","0.167","0.292","0.301","1.1","1","0.1","0.2","0.1","0.3","2.1","1.2","2.2","3.4","71.9","115.6"
"558","Frank Kaminsky","Hou","F-C","30","8","4.8","13.9","0","4","1","4","0.25","7","0.143","0.227","0.353","1.1","1.1","0.9","0.1","0.3","0","2.3","2","3.1","8.6","110.8","118.2"
"559","Isaiah Mobley","Cle","F","23.5","10","3.3","13.8","0","0","0","7","0.571","3","0.333","0.55","0.55","1.1","1.2","0","0.1","0.1","0","2.3","1.1","2.3","0","",""
"560","Noah Vonleh","Bos","F","27.6","23","7.5","9.1","31","2","1","20","0.5","4","0.25","0.479","0.502","1.1","2.1","0.3","0.1","0.3","0.5","3.2","1.4","3.5","4.7","102.9","92.8"
"561","Bruno Fernando","Atl","F-C","24.6","4","2.6","24.2","33.3","0","0","4","0.5","0","0","0.5","0.5","1","0.5","0.3","0","0","0.5","1.5","1.3","1.8","8.2","",""
"562","Malcolm Hill","Chi","F","27.4","5","1.8","19.4","0","0","0","1","1","3","0.333","0.625","0.625","1","0.6","0","0","0","0","1.6","1","1.6","0","",""
"563","Mfiondu Kabengele","Bos","F-C","25.6","2","7","9.4","33.3","0","0","1","1","1","0","0.5","0.5","1","2.5","0","0","0","0.5","3.5","1","3.5","0","114","93.4"
"564","Chima Moneke","Sac","F","27.3","2","4","26.6","50","2","0","2","0.5","0","0","0.5","0.347","1","1","0.5","0","0","1","2","1.5","2.5","7.9","73.6","97.8"
"565","Nerlens Noel","Bro","C-F","29","3","14.4","12.2","44.6","2","0.5","6","0.167","0","0","0.167","0.218","1","3","1","1","0.3","1.7","4","2","5","4","57.2","98.5"
"566","Justin Jackson","Bos","F","28","23","4.7","12.2","6.8","2","0.5","7","0.286","20","0.25","0.352","0.359","0.9","0.7","0.4","0.2","0.2","0.1","1.6","1.3","2","5.4","89.6","107.3"
"567","Vince Williams Jr.","Mem","G","22.6","11","4.7","12","6.7","0","0","4","0.5","10","0.2","0.357","0.357","0.9","0.6","0.3","0.4","0.1","0.1","1.5","1.2","1.8","4.6","89","101.5"
"568","Dereon Seabron","Nor","G","22.8","5","2.3","18.5","0","0","0","5","0.4","0","0","0.4","0.4","0.8","0.2","0","0","0","0","1","0.8","1","0","",""
"569","Thanasis Antetokounmpo","Mil","F","30.7","30","4.2","13.1","27.6","8","0.5","21","0.429","5","0","0.346","0.373","0.7","1","0.2","0.1","0.1","0.3","1.8","1","2","4.9","80","102"
"570","PJ Dozier","Sac","G-F","26.4","10","2.4","22","16.7","0","0","5","0.4","5","0.2","0.35","0.35","0.7","0.6","0","0.3","0.1","0.2","1.3","0.7","1.3","0","",""
"571","Alex Len","Sac","C","29.8","18","3.2","17","42.2","4","0.75","10","0.5","2","0","0.417","0.472","0.7","0.9","0.3","0","0","0.5","1.7","1.1","2","7.2","",""
"572","Sam Merrill","Cle","G","26.9","3","3.6","16.6","0","0","0","1","1","3","0","0.25","0.25","0.7","0.3","0.3","0","0","0","1","1","1.3","4.4","",""
"573","Vernon Carey Jr.","Was","F-C","22.1","11","2.6","16.7","19.2","2","1","8","0.25","0","0","0.25","0.338","0.5","1","0.3","0.2","0.2","0.2","1.5","0.8","1.8","8.2","",""
"574","Devon Dotson","Was","G","23.7","6","8.9","9.9","25","0","0","6","0","3","0.333","0.167","0.167","0.5","1.7","1.3","0.8","0","0.5","2.2","1.8","3.5","4.6","86.5","98.4"
"575","Udonis Haslem","Mia","F","42.8","6","7.6","12.6","0","2","0.5","10","0.1","2","0","0.083","0.116","0.5","1.3","0","0.2","0.2","0","1.8","0.5","1.8","0","51.2","98.4"
"576","Isaiah Todd","Was","F","21.4","4","3.2","13.9","0","0","0","1","1","3","0","0.25","0.25","0.5","0","0","0","0","0","0.5","0.5","0.5","0","",""
"577","Leandro Bolmaro","Uta","F","22.5","14","4.9","15.9","26.9","0","0","15","0.2","4","0","0.158","0.158","0.4","0.5","0.5","0.1","0.1","0.5","0.9","0.9","1.4","3.8","51.2","107.3"
"578","Ryan Arcidiacono","Nyk","G","29","11","2.4","9.8","16.7","0","0","2","0","3","0.333","0.3","0.3","0.3","0.4","0.2","0.2","0","0.1","0.6","0.5","0.8","4.8","",""
"579","John Butler Jr.","Por","F","20.3","11","3.6","5.5","0","0","0","1","1","4","0","0.2","0.2","0.2","0.3","0.1","0.1","0.4","0","0.5","0.3","0.5","2","",""
"580","Sterling Brown","Lal","G-F","28.1","4","6.1","6.9","0","0","0","2","0","2","0","0","0","0","2","0.5","0.8","0","0","2","0.5","2.5","0","76.8","92.6"
"581","Deonte Burton","Sac","G-F","29.2","2","3.3","13.2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"582","Julian Champagnie","Phi","F","21.7","2","3.4","13.3","0","0","0","1","0","1","0","0","0","0","0","0","0.5","0","0","0","0","0","0","",""
"583","Michael Foster Jr.","Phi","F","20.2","1","1","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"584","Frank Jackson","Uta","G","24.9","1","5.1","24.6","0","0","0","2","0","1","0","0","0","0","2","1","0","0","0","2","1","3","0","48.3","120.3"
"585","Marko Simonovic","Chi","C","23.4","3","1.5","9.6","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"586","Alondes Williams","Bro","G","23.8","1","5.3","16.7","100","0","0","0","0","0","0","","","0","1","0","0","0","2","1","0","1","0","","98"
"587","Jamaree Bouyea","Was","G","23.7","1","5.5","7.9","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","99.7"
"588","Xavier Cooks","Was","G","27.6","3","3.8","3.8","100","0","0","0","0","0","0","","","0","1.3","0.3","0","0","0.3","1.3","0.3","1.7","0","",""
"589","Xavier Moon","Lac","G","28.2","1","6.8","12.9","0","0","0","2","0","0","0","0","0","0","1","2","0","0","0","1","2","3","0","58.4","103"
"590","Moses Brown","Bro","C","23.5","1","3.9","11.4","100","0","0","0","0","0","0","","","0","0","0","1","0","1","0","0","0","0","",""
